model,arrhythmia,breastw,cardio,campaign,cardiotocography,glass,ionosphere,mammography,optdigits,pima,pendigits,satellite,thyroid,wbc,wine,AVG_AUC,AVG_RANK
IForest,0.6412,0.9949,0.7941,0.457,0.6943,0.1638,0.9143,0.3606,0.1849,0.7179,0.5235,0.8428,0.8201,0.7729,0.5417,0.6283,6.3125
LOF,0.5994,0.9209,0.6966,0.4025,0.6744,0.2458,0.9632,0.331,0.4977,0.672,0.8508,0.8785,0.6781,0.78,0.7508,0.6628,6.625
OCSVM,0.6141,0.99,0.8463,0.4968,0.7292,0.1878,0.975,0.4016,0.0675,0.6915,0.5094,0.8236,0.7834,0.7798,0.7561,0.6435,5.625
ECOD,0.6212,0.9922,0.7144,0.501,0.6539,0.1943,0.7787,0.5461,0.0655,0.6242,0.4022,0.6614,0.6281,0.5922,0.316,0.5528,9.0625
KNN,0.6131,0.9876,0.7784,0.4972,0.658,0.2454,0.981,0.4073,0.3233,0.7155,0.9681,0.8917,0.8109,0.7661,0.7804,0.6949,4.1875
PCA,0.6127,0.9905,0.8548,0.4905,0.4714,0.1547,0.9173,0.4279,0.0559,0.693,0.3834,0.7692,0.7919,0.7688,0.6385,0.6014,7.6875
AutoEncoder,0.4599,0.982,0.7452,0.4487,0.7542,0.2101,0.9534,0.3059,0.084,0.6775,0.3938,0.8453,0.7636,0.7923,0.6287,0.603,7.875
DeepSVDD,0.5711,0.9841,0.7939,0.4453,0.6987,0.1466,0.8828,0.4037,0.0671,0.6623,0.3899,0.7433,0.7497,0.7398,0.5863,0.591,9.5
GOAD,0.4781,0.8363,0.344,0.1662,0.4161,0.2791,0.9594,0.2622,0.1551,0.4932,0.0281,0.8007,0.6937,0.2629,0.5308,0.4471,11.4375
NeuTraL,0.3955,0.6237,0.3229,0.4034,0.4283,0.5636,0.9411,0.0678,0.4672,0.5619,0.5584,0.7399,0.1079,0.0981,0.8331,0.4742,10.5
ICL,0.4657,0.8376,0.5748,0.4877,0.5723,0.3674,0.9441,0.1421,0.3969,0.6488,0.5006,0.8636,0.2926,0.3314,0.5937,0.5346,9.4375
MCM,0.5945,0.991,0.8076,0.4986,0.6344,0.2294,0.9729,0.4204,0.3372,0.625,0.8381,0.8608,0.693,0.5548,0.7852,0.6562,5.9375
DRL,0.5401,0.9779,0.7379,0.4177,0.6086,0.2701,0.9704,0.5331,0.2727,0.6322,0.6094,0.9009,0.6457,0.7423,0.7486,0.6405,7.25
PAE-ws-d64-lr0.001,0.5996,0.9879,0.851,0.5075,0.7005,0.2852,0.9792,0.4287,0.1581,0.6869,0.9039,0.875,0.7707,0.7818,0.7845,0.6867,3.5625
Baseline (ratio),0.292,0.7009,0.1923,0.2253,0.4409,0.0841,0.72,0.0465,0.0575,0.6979,0.0454,0.6329,0.0493,0.1111,0.1562,0.2968,0.0
